iter	Passed	Remaining
0	2	214
1	4	211
2	6	204
3	12	305
4	15	289
5	17	272
6	19	257
7	21	251
8	27	276
9	29	267
10	31	258
11	33	248
12	35	239
13	42	259
14	44	253
15	47	248
16	49	241
17	51	234
18	57	243
19	59	238
20	61	231
21	63	225
22	65	219
23	67	214
24	72	217
25	74	212
26	76	207
27	78	202
28	80	197
29	84	197
30	87	194
31	89	191
32	91	186
33	93	182
34	95	178
35	100	179
36	104	177
37	106	173
38	107	168
39	109	164
40	112	161
41	116	160
42	119	158
43	121	154
44	123	150
45	125	146
46	131	148
47	134	145
48	136	141
49	138	138
50	140	134
51	145	133
52	147	131
53	149	127
54	151	124
55	153	120
56	155	117
57	160	116
58	163	113
59	165	110
60	167	106
61	168	103
62	170	100
63	176	99
64	179	96
65	181	93
66	183	90
67	185	87
68	187	84
69	192	82
70	194	79
71	196	76
72	198	73
73	200	70
74	202	67
75	207	65
76	209	62
77	211	59
78	213	56
79	214	53
80	216	50
81	223	49
82	225	46
83	227	43
84	229	40
85	231	37
86	235	35
87	238	32
88	240	29
89	242	26
90	244	24
91	246	21
92	249	18
93	253	16
94	255	13
95	257	10
96	258	8
97	260	5
98	265	2
99	268	0
