iter	Passed	Remaining
0	456	455752
1	459	229455
2	463	153988
3	468	116626
4	471	93729
5	473	78423
6	475	67513
7	488	60587
8	501	55167
9	503	49854
10	513	46188
11	517	42623
12	520	39499
13	528	37200
14	534	35071
15	546	33633
16	550	31806
17	560	30559
18	566	29229
19	573	28109
20	577	26935
21	580	25822
22	591	25129
23	596	24252
24	604	23576
25	607	22747
26	612	22057
27	625	21696
28	627	20996
29	634	20502
30	640	20021
31	643	19458
32	653	19162
33	658	18700
34	670	18473
35	680	18225
36	683	17796
37	689	17458
38	694	17101
39	696	16720
40	707	16544
41	709	16192
42	711	15844
43	714	15523
44	722	15324
45	726	15058
46	735	14904
47	737	14632
48	740	14365
49	743	14121
50	745	13867
51	750	13681
52	757	13531
53	765	13407
54	767	13194
55	772	13015
56	774	12807
57	777	12624
58	781	12471
59	784	12293
60	787	12116
61	790	11965
62	797	11863
63	800	11710
64	806	11598
65	809	11457
66	815	11353
67	817	11201
68	827	11167
69	832	11065
70	836	10943
71	844	10881
72	860	10933
73	863	10807
74	868	10711
75	872	10603
76	874	10485
77	890	10522
78	892	10406
79	895	10293
80	902	10236
81	904	10130
82	906	10011
83	909	9913
84	911	9816
85	921	9796
86	923	9695
87	926	9601
88	930	9523
89	934	9451
90	938	9373
91	940	9284
92	951	9280
93	954	9197
94	958	9130
95	963	9070
96	965	8990
97	968	8912
98	971	8843
99	981	8834
100	983	8755
101	985	8679
102	988	8607
103	993	8561
104	996	8491
105	998	8423
106	1009	8423
107	1011	8356
108	1013	8286
109	1017	8229
110	1020	8170
111	1024	8121
112	1031	8095
113	1037	8061
114	1040	8009
115	1046	7977
116	1049	7919
117	1053	7871
118	1055	7817
119	1058	7762
120	1061	7708
121	1062	7648
122	1069	7628
123	1072	7577
124	1077	7540
125	1079	7490
126	1085	7458
127	1087	7409
128	1092	7373
129	1094	7324
130	1100	7300
131	1105	7271
132	1109	7230
133	1113	7193
134	1121	7186
135	1124	7146
136	1135	7153
137	1138	7112
138	1142	7074
139	1153	7083
140	1164	7092
141	1171	7076
142	1178	7060
143	1181	7022
144	1184	6985
145	1189	6959
146	1194	6934
147	1197	6894
148	1200	6855
149	1204	6827
150	1209	6801
151	1212	6765
152	1215	6727
153	1224	6727
154	1230	6707
155	1236	6690
156	1239	6655
157	1242	6619
158	1244	6580
159	1250	6563
160	1252	6528
161	1255	6492
162	1258	6464
163	1264	6446
164	1267	6414
165	1270	6381
166	1273	6352
167	1283	6354
168	1285	6319
169	1287	6286
170	1290	6253
171	1294	6229
172	1297	6200
173	1300	6173
174	1308	6169
175	1311	6140
176	1313	6108
177	1317	6085
178	1320	6056
179	1324	6033
180	1327	6007
181	1331	5984
182	1333	5954
183	1338	5936
184	1343	5916
185	1350	5911
186	1357	5901
187	1364	5892
188	1366	5862
189	1379	5879
190	1388	5880
191	1395	5871
192	1397	5843
193	1404	5834
194	1406	5807
195	1409	5781
196	1412	5757
197	1416	5736
198	1418	5711
199	1430	5720
200	1433	5698
201	1436	5676
202	1442	5665
203	1447	5649
204	1451	5629
205	1461	5634
206	1464	5609
207	1466	5584
208	1474	5582
209	1483	5580
210	1491	5577
211	1494	5554
212	1496	5528
213	1498	5503
214	1500	5478
215	1504	5459
216	1506	5437
217	1509	5413
218	1511	5389
219	1513	5365
220	1523	5370
221	1525	5346
222	1527	5322
223	1529	5298
224	1532	5278
225	1535	5257
226	1537	5235
227	1539	5212
228	1546	5206
229	1548	5184
230	1550	5161
231	1552	5138
232	1554	5116
233	1557	5098
234	1561	5082
235	1564	5063
236	1566	5043
237	1569	5025
238	1576	5020
239	1578	4998
240	1580	4977
241	1582	4957
242	1584	4935
243	1586	4914
244	1589	4898
245	1591	4878
246	1593	4858
247	1595	4838
248	1598	4819
249	1600	4800
250	1604	4788
251	1606	4768
252	1608	4748
253	1613	4737
254	1615	4718
255	1623	4719
256	1628	4707
257	1630	4690
258	1638	4687
259	1640	4670
260	1650	4672
261	1659	4673
262	1661	4656
263	1664	4640
264	1666	4622
265	1672	4615
266	1676	4602
267	1694	4627
268	1696	4609
269	1703	4606
270	1706	4591
271	1709	4576
272	1711	4558
273	1715	4544
274	1721	4539
275	1724	4522
276	1726	4506
277	1729	4492
278	1733	4479
279	1735	4463
280	1738	4447
281	1740	4430
282	1741	4413
283	1743	4395
284	1751	4394
285	1753	4377
286	1755	4361
287	1757	4343
288	1758	4326
289	1761	4311
290	1763	4296
291	1765	4280
292	1767	4265
293	1769	4249
294	1771	4234
295	1781	4236
296	1783	4222
297	1785	4206
298	1787	4191
299	1789	4176
300	1796	4171
301	1798	4156
302	1800	4142
303	1805	4133
304	1808	4120
305	1810	4105
306	1824	4118
307	1829	4111
308	1834	4101
309	1836	4088
310	1841	4080
311	1844	4066
312	1846	4052
313	1852	4047
314	1859	4043
315	1861	4029
316	1865	4018
317	1867	4006
318	1880	4015
319	1884	4004
320	1890	3998
321	1892	3984
322	1898	3979
323	1902	3970
324	1905	3957
325	1907	3944
326	1915	3941
327	1919	3933
328	1932	3942
329	1937	3934
330	1947	3935
331	1955	3934
332	1958	3923
333	1962	3912
334	1980	3931
335	1998	3949
336	2003	3941
337	2014	3946
338	2019	3936
339	2029	3940
340	2034	3931
341	2063	3970
342	2073	3972
343	2079	3964
344	2083	3956
345	2088	3946
346	2098	3949
347	2103	3941
348	2121	3957
349	2128	3953
350	2134	3947
351	2136	3933
352	2146	3934
353	2152	3927
354	2159	3923
355	2163	3914
356	2166	3902
357	2169	3891
358	2182	3896
359	2187	3889
360	2220	3931
361	2235	3939
362	2249	3948
363	2254	3939
364	2262	3936
365	2274	3939
366	2290	3950
367	2310	3968
368	2340	4002
369	2344	3992
370	2358	3998
371	2360	3985
372	2370	3985
373	2377	3979
374	2380	3968
375	2387	3962
376	2390	3950
377	2394	3939
378	2407	3945
379	2416	3943
380	2441	3966
381	2451	3965
382	2455	3955
383	2476	3972
384	2502	3997
385	2522	4012
